 -,-,-
-0.033,-0.996,0.566
0.396,-0.205,2.038
0.143,-0.818,1.204
0.594,-0.249,1.914
-0.444,-0.881,1.321
0.363,-0.553,1.288
0.466,-0.616,0.382
0.200,-0.511,0.297
0.643,-0.675,-0.002
0.198,-0.365,0.089
0.748,-0.555,-1.015
0.961,-0.796,-1.200
2.389,-1.152,-3.349
0.843,-1.670,-1.675
-0.414,-0.524,1.335
0.356,2.541,-4.000
0.170,1.462,-0.777
1.094,-0.298,-0.004
0.562,-0.087,-0.381
1.696,-0.100,0.721
-0.117,-1.190,0.385
0.410,-1.261,0.452
0.340,-1.031,0.923
0.807,-0.705,1.308
0.607,0.197,1.136
1.350,0.129,0.874
-0.175,0.223,0.384
-0.310,0.169,-0.047
-0.334,0.185,0.032
-0.202,0.339,-0.015
-0.015,0.649,-0.239
-0.682,0.264,0.923
-0.277,0.064,1.672
-1.201,1.418,2.238
-1.145,0.719,2.236
-1.083,0.479,2.020
-1.199,0.852,2.407
-0.902,0.536,1.556
-0.810,-0.224,0.823
-0.439,-0.510,0.739
-0.338,-0.320,0.551
-0.488,-0.065,0.739
-0.691,0.869,1.265
-0.500,1.224,1.463
-0.238,0.646,1.021
-0.316,0.368,0.939
-0.213,0.449,0.854
-0.333,0.504,0.981
-0.240,0.466,0.846
-0.317,0.396,0.850
-0.274,0.305,0.729
-0.307,0.241,0.845
-0.284,-0.003,0.697
-0.618,-0.148,0.772
-0.336,-0.199,0.787
-0.347,-0.263,0.796
-0.196,-0.230,0.911
-0.178,-0.267,0.899
-0.191,-0.198,1.060
-0.177,-0.241,0.931
-0.241,-0.278,0.944
-0.340,-0.338,0.924
-0.342,-0.324,0.953
-0.396,-0.306,0.899
-0.406,-0.334,0.904
-0.359,-0.314,0.894
-0.384,-0.316,0.889
-0.375,-0.299,0.924
-0.384,-0.328,0.907
-0.359,-0.325,0.910
-0.364,-0.336,0.905
-0.384,-0.321,0.912
-0.383,-0.358,0.904
-0.404,-0.329,0.884
-0.403,-0.317,0.891
-0.356,-0.310,0.870
-0.407,-0.348,0.906
-0.396,-0.350,0.887
-0.417,-0.323,0.913
-0.362,-0.348,0.889
-0.382,-0.342,0.909
-0.389,-0.338,0.884
-0.348,-0.377,0.864
-0.393,-0.358,0.860
-0.402,-0.350,0.864
-0.419,-0.352,0.860
-0.432,-0.352,0.889
-0.415,-0.321,0.898
-0.401,-0.385,0.855
-0.420,-0.410,0.852
-0.394,-0.355,0.855
-0.376,-0.363,0.898
-0.392,-0.367,0.879
-0.385,-0.390,0.919
-0.387,-0.392,0.896
-0.413,-0.382,0.900
-0.404,-0.387,0.868
-0.406,-0.365,0.861
-0.364,-0.345,0.871
-0.375,-0.357,0.876

 -,-,-
0.154,-0.360,1.365
-0.762,-0.748,0.954
0.372,-0.347,1.590
-0.590,-0.265,1.251
0.320,-0.393,1.411
0.856,-0.689,1.498
0.709,-0.558,1.507
0.169,-0.424,1.340
0.177,-0.404,0.762
0.345,-0.556,0.037
0.851,-0.336,-0.275
0.663,-0.682,-0.198
0.888,-0.738,-0.690
1.394,-1.539,-1.724
2.426,-1.722,-2.609
0.639,-2.243,-0.696
1.976,1.669,0.533
-1.005,3.283,-0.277
-1.371,0.404,0.148
1.017,0.051,-0.134
0.457,0.026,0.269
0.978,-0.099,0.744
0.449,-1.287,0.540
0.431,-0.896,0.994
0.665,0.317,0.599
0.563,0.027,0.482
0.090,0.183,0.454
0.485,-0.394,0.456
0.572,-0.296,0.586
0.251,-0.768,0.475
0.343,-0.605,1.083
-0.432,-0.876,1.461
-0.584,-0.552,1.629
-0.521,-0.489,1.590
-0.430,-0.483,1.656
-0.544,-0.629,1.479
-0.313,-0.515,1.396
-0.653,-0.226,1.359
-0.500,-0.107,1.321
-0.355,-0.131,0.986
-0.630,0.014,0.963
-0.334,0.143,1.031
-0.236,0.223,1.103
-0.169,0.132,0.944
-0.570,-0.058,0.564
-0.275,-0.106,0.788
-0.470,-0.286,0.617
-0.199,-0.082,1.108
-0.270,-0.161,0.990
-0.223,-0.143,1.099
-0.238,-0.152,1.069
-0.073,-0.111,1.128
-0.212,-0.126,1.007
-0.160,-0.086,1.071
-0.258,-0.175,0.920
-0.217,-0.147,0.928
-0.408,-0.186,0.850
-0.359,-0.160,0.896
-0.353,-0.157,0.847
-0.337,-0.109,0.997
-0.169,-0.158,0.888
-0.365,-0.132,1.023
-0.267,-0.161,0.981
-0.274,-0.149,0.997
-0.270,-0.154,1.002
-0.243,-0.166,1.023
-0.240,-0.160,1.019
-0.253,-0.175,0.975
-0.243,-0.192,0.962
-0.263,-0.187,0.935
-0.279,-0.152,0.952
-0.296,-0.158,0.962
-0.303,-0.144,0.990
-0.258,-0.158,1.000
-0.255,-0.165,0.986
-0.233,-0.146,0.998
-0.218,-0.159,1.003
-0.238,-0.180,0.955
-0.294,-0.143,0.997
-0.282,-0.141,0.964
-0.286,-0.171,0.907
-0.241,-0.213,0.902
-0.256,-0.232,0.879
-0.297,-0.229,0.974
-0.317,-0.195,1.023
-0.297,-0.213,1.031
-0.275,-0.260,0.976
-0.231,-0.253,1.009
-0.222,-0.178,1.073
-0.258,-0.172,1.048
-0.244,-0.173,1.018
-0.223,-0.260,0.978
-0.182,-0.177,0.931
-0.126,-0.220,0.878
-0.026,-0.191,0.943
-0.097,-0.122,1.066
-0.090,-0.131,0.976
-0.133,-0.151,0.928
-0.173,-0.240,0.866
-0.101,-0.090,1.016

 -,-,-
0.754,-0.857,0.766
-0.143,-0.191,1.438
0.429,-0.528,0.958
0.585,-0.581,2.147
-0.652,-0.721,2.007
0.319,-0.478,1.450
0.207,-0.553,1.027
0.260,-0.554,0.211
0.419,-0.573,-0.024
0.794,-0.377,-0.098
0.805,-0.675,-0.881
2.002,-1.344,-2.968
1.668,-1.391,-0.947
0.154,-2.157,-1.809
-1.319,0.890,1.860
-3.653,3.961,1.790
0.549,-0.120,-0.186
0.979,-0.158,0.612
0.980,-0.017,0.147
0.161,-0.619,0.100
0.637,-1.224,0.263
0.340,-1.176,0.860
0.649,-0.925,0.782
0.089,-0.347,0.432
0.550,-0.051,0.718
-0.084,0.363,0.359
0.026,0.312,0.127
0.047,0.285,0.261
-0.766,-0.086,0.100
-0.725,-0.038,0.472
-1.315,-0.073,0.309
-1.206,-0.024,0.968
-2.737,0.244,1.100
-2.180,-0.115,1.878
-1.650,-0.470,1.666
-0.743,-0.147,2.249
-1.370,-0.094,1.931
-0.889,-0.225,1.375
-0.458,-0.202,0.893
-0.508,-0.076,0.728
-0.484,0.002,0.613
-0.449,0.106,0.598
-0.347,0.163,0.717
-0.190,0.044,0.672
-0.222,-0.104,0.804
-0.354,-0.199,0.928
-0.544,-0.201,1.021
-0.485,-0.236,0.915
-0.411,-0.210,0.971
-0.311,-0.196,0.955
-0.281,-0.208,0.918
-0.367,-0.245,0.878
-0.430,-0.250,0.831
-0.593,-0.218,0.910
-0.501,-0.233,0.874
-0.497,-0.251,0.890
-0.463,-0.232,0.925
-0.498,-0.184,0.902
-0.478,-0.184,0.906
-0.459,-0.214,0.866
-0.473,-0.238,0.868
-0.468,-0.238,0.863
-0.515,-0.223,0.858
-0.521,-0.213,0.867
-0.497,-0.200,0.869
-0.457,-0.223,0.881
-0.455,-0.234,0.855
-0.475,-0.220,0.864
-0.502,-0.219,0.865
-0.494,-0.211,0.873
-0.512,-0.207,0.864
-0.494,-0.203,0.877
-0.509,-0.210,0.894
-0.509,-0.197,0.885
-0.494,-0.200,0.878
-0.471,-0.220,0.868
-0.491,-0.208,0.880
-0.470,-0.210,0.870
-0.458,-0.217,0.897
-0.489,-0.213,0.913
-0.480,-0.198,0.918
-0.459,-0.207,0.916
-0.445,-0.227,0.872
-0.458,-0.217,0.884
-0.472,-0.206,0.879
-0.458,-0.218,0.883
-0.474,-0.221,0.897
-0.448,-0.233,0.883
-0.435,-0.248,0.863
-0.461,-0.236,0.903
-0.494,-0.212,0.924
-0.481,-0.173,0.923
-0.451,-0.172,0.894
-0.441,-0.175,0.866
-0.420,-0.194,0.835
-0.446,-0.207,0.896
-0.453,-0.239,0.875
-0.515,-0.262,0.932
-0.465,-0.265,0.905
-0.442,-0.259,0.943

 -,-,-
-0.150,-0.417,1.066
-0.208,-0.258,0.796
0.734,-0.195,0.823
0.317,-0.327,0.985
-0.378,-0.397,0.936
0.363,0.037,1.443
-0.333,-0.392,1.530
0.255,-0.245,1.826
0.074,-0.598,1.856
-0.390,-0.384,2.228
-0.120,-0.396,1.422
-0.046,-0.467,1.179
0.151,-0.416,0.492
0.210,-0.445,0.268
0.798,-0.512,-0.196
0.916,-0.711,-0.220
2.084,-1.685,-2.069
2.530,-1.654,-1.228
1.534,-2.293,-2.290
-1.159,-0.279,0.879
-1.524,4.000,-0.674
1.573,0.321,0.503
1.943,-0.355,0.016
-0.373,-0.052,0.001
-0.084,0.093,0.047
0.250,-0.982,-0.075
0.798,-1.426,0.339
0.736,-0.753,0.747
0.479,-0.591,0.241
1.199,0.410,0.583
0.399,0.797,0.565
0.035,0.428,0.348
-0.103,0.273,0.437
0.213,-0.176,0.832
-0.002,-0.935,0.865
0.185,-0.852,1.516
-1.016,-0.859,1.515
-1.102,-0.585,1.682
-0.989,-0.646,1.494
-0.819,-0.626,1.324
-0.545,-0.516,1.098
-0.563,-0.362,1.009
-0.761,-0.196,1.009
-0.831,-0.122,1.078
-0.518,-0.131,0.912
-0.487,-0.053,0.871
-0.447,-0.057,0.831
-0.469,0.074,1.134
-0.212,0.100,1.066
-0.189,0.100,1.115
-0.225,0.000,1.005
-0.259,-0.012,1.052
-0.363,-0.104,1.000
-0.409,-0.107,0.922
-0.360,-0.107,0.887
-0.376,-0.099,0.900
-0.375,-0.088,0.923
-0.353,-0.071,0.944
-0.367,-0.079,0.982
-0.349,-0.111,0.919
-0.402,-0.099,0.978
-0.433,-0.111,0.965
-0.459,-0.104,0.973
-0.391,-0.116,0.919
-0.365,-0.147,0.877
-0.397,-0.171,0.900
-0.399,-0.178,0.888
-0.387,-0.163,0.917
-0.397,-0.158,0.928
-0.398,-0.182,0.912
-0.377,-0.189,0.909
-0.376,-0.192,0.908
-0.403,-0.204,0.901
-0.411,-0.202,0.919
-0.418,-0.187,0.934
-0.383,-0.203,0.906
-0.383,-0.193,0.946
-0.403,-0.205,0.950
-0.400,-0.191,0.947
-0.399,-0.191,0.941
-0.379,-0.205,0.892
-0.381,-0.207,0.914
-0.391,-0.220,0.887
-0.401,-0.202,0.920
-0.404,-0.188,0.941
-0.373,-0.211,0.924
-0.408,-0.199,0.933
-0.415,-0.190,0.935
-0.379,-0.218,0.917
-0.388,-0.210,0.933
-0.423,-0.211,0.929
-0.407,-0.221,0.924
-0.402,-0.229,0.916
